antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction,zhangs_metric,antecedents_list,consequents_list
frozenset({'Amikacin_I_R'}),frozenset({'Cefepime_I_R'}),0.5005821004123211,0.649284501576522,0.48171234537957797,0.9623043752119773,1.4820997157261795,0.1566921458152356,9.303878113061904,0.6513213998671956,['Amikacin_I_R'],['Cefepime_I_R']
frozenset({'Amikacin_I_R'}),frozenset({'Ceftazidime_I_R'}),0.5005821004123211,0.6548872180451127,0.4831433422265341,0.9651630408450023,1.4737851255153307,0.15531852308432986,9.906512804960967,0.6436994664101505,['Amikacin_I_R'],['Ceftazidime_I_R']
frozenset({'Imipenem_I_R'}),frozenset({'Amikacin_I_R'}),0.3438030560271647,0.5005821004123211,0.28040261945185546,0.8155908289241622,1.6292848430904217,0.10830096353760243,2.7082053277181894,0.5885942981113846,['Imipenem_I_R'],['Amikacin_I_R']
frozenset({'Amikacin_I_R'}),frozenset({'Levofloxacin_I_R'}),0.5005821004123211,0.6500363812757701,0.481372786805724,0.9616260477736325,1.479341888351437,0.1559762097222746,9.119822129860337,0.6488028126448963,['Amikacin_I_R'],['Levofloxacin_I_R']
frozenset({'Amikacin_I_R'}),frozenset({'Meropenem_I_R'}),0.5005821004123211,0.5658501091438273,0.44710162503031775,0.8931634284606813,1.5784452702714913,0.16384718887655958,4.0636823570886875,0.733784683646315,['Amikacin_I_R'],['Meropenem_I_R']
frozenset({'Amikacin_I_R'}),frozenset({'Piperacillin tazobactam_I_R'}),0.5005821004123211,0.6636429784137764,0.4868299781712345,0.9725277387470324,1.4654381503011529,0.15462218211297768,12.243514230190614,0.635960849329573,['Amikacin_I_R'],['Piperacillin tazobactam_I_R']
frozenset({'Amikacin_I_R'}),frozenset({'Tigecycline_I_S'}),0.5005821004123211,0.9499151103565365,0.46342469075915593,0.9257715974611174,0.97458350474459,-0.012085810396520902,0.6747402332581224,-0.04962793083448666,['Amikacin_I_R'],['Tigecycline_I_S']
frozenset({'Ampicillin sulbactam_I_R'}),frozenset({'Amikacin_I_R'}),0.24467620664564638,0.5005821004123211,0.20674266310938638,0.844964314036479,1.687963499574787,0.08426213366578961,3.2213093165220616,0.5395965698184979,['Ampicillin sulbactam_I_R'],['Amikacin_I_R']
frozenset({'Ciprofloxacin_I_R'}),frozenset({'Amikacin_I_R'}),0.2710162503031773,0.5005821004123211,0.22095561484356052,0.8152854841596564,1.6286748636999193,0.08528973102092469,2.70372849321353,0.529509620826342,['Ciprofloxacin_I_R'],['Amikacin_I_R']
frozenset({'Gentamicin_I_R'}),frozenset({'Amikacin_I_R'}),0.24140189182634003,0.5005821004123211,0.21052631578947367,0.8720988646639204,1.7421694941660661,0.08968484973553645,3.904718267553941,0.5615661727253829,['Gentamicin_I_R'],['Amikacin_I_R']
frozenset({'Trimethoprim sulfa_I_R'}),frozenset({'Amikacin_I_R'}),0.22864419112296872,0.5005821004123211,0.18750909531894253,0.8200912273257664,1.6382751733437353,0.07305390587953066,2.7759507897482605,0.5050871827502056,['Trimethoprim sulfa_I_R'],['Amikacin_I_R']
frozenset({'Cefepime_I_S'}),frozenset({'Amikacin_I_S'}),0.35071549842347804,0.49941789958767885,0.3318457433907349,0.9461964038727525,1.8945985008825985,0.1566921458152356,9.303878113061922,0.7272369560643633,['Cefepime_I_S'],['Amikacin_I_S']
frozenset({'Ceftazidime_I_S'}),frozenset({'Amikacin_I_S'}),0.3451127819548872,0.49941789958767885,0.32767402376910015,0.9494693934921639,1.901152109838372,0.15531852308432978,9.906512804960938,0.7237935755374467,['Ceftazidime_I_S'],['Amikacin_I_S']
frozenset({'Ceftriaxone_I_S'}),frozenset({'Amikacin_I_S'}),0.12437545476594712,0.49941789958767885,0.12044627698277953,0.968408736349454,1.939074945349327,0.058330948603307856,15.84558648712584,0.5530797166563891,['Ceftriaxone_I_S'],['Amikacin_I_S']
frozenset({'Imipenem_I_S'}),frozenset({'Amikacin_I_S'}),0.21101139946640796,0.49941789958767885,0.1919718651467378,0.9097701149425287,1.82166100913411,0.08658899523616768,5.547852577818079,0.57168182768848,['Imipenem_I_S'],['Amikacin_I_S']
frozenset({'Levofloxacin_I_S'}),frozenset({'Amikacin_I_S'}),0.34996361872422993,0.49941789958767885,0.3307543051176328,0.9451105412710514,1.8924242444080157,0.15597620972227463,9.119822129860344,0.7254628755360645,['Levofloxacin_I_S'],['Amikacin_I_S']
frozenset({'Meropenem_I_S'}),frozenset({'Amikacin_I_S'}),0.34208100897404803,0.49941789958767885,0.3130730050933786,0.9152013613159387,1.8325361627437304,0.1422316261027256,5.90318557208643,0.6905229714419512,['Meropenem_I_S'],['Amikacin_I_S']
frozenset({'Piperacillin tazobactam_I_S'}),frozenset({'Amikacin_I_S'}),0.3363570215862236,0.49941789958767885,0.32260489934513703,0.9591145082203635,1.9204648231715598,0.15462218211297768,12.243514230190618,0.7222147194996987,['Piperacillin tazobactam_I_S'],['Amikacin_I_S']
frozenset({'Amikacin_I_S'}),frozenset({'Tigecycline_I_S'}),0.49941789958767885,0.9499151103565365,0.48649041959738054,0.9741149045699578,1.0254757440423683,0.012085810396520902,1.9348929880835957,0.049627930834486654,['Amikacin_I_S'],['Tigecycline_I_S']
frozenset({'Ampicillin sulbactam_I_S'}),frozenset({'Amikacin_I_S'}),0.12709192335677905,0.49941789958767885,0.11120543293718166,0.875,1.7520397260939247,0.0477334515197808,4.00465680329857,0.49173183027031314,['Ampicillin sulbactam_I_S'],['Amikacin_I_S']
frozenset({'Gentamicin_I_S'}),frozenset({'Amikacin_I_S'}),0.13036623817608536,0.49941789958767885,0.11826340043657531,0.9071627906976745,1.8164402826703472,0.05315616758952768,5.392041662757972,0.5168528409878043,['Gentamicin_I_S'],['Amikacin_I_S']
frozenset({'Cefepime_I_R'}),frozenset({'Ceftazidime_I_R'}),0.649284501576522,0.6548872180451127,0.6146010186757216,0.9465819947702653,1.4454122308202675,0.1893928977184655,6.4606078132394,0.8786490724760139,['Cefepime_I_R'],['Ceftazidime_I_R']
frozenset({'Ceftazidime_I_R'}),frozenset({'Cefepime_I_R'}),0.6548872180451127,0.649284501576522,0.6146010186757216,0.938483759860746,1.4454122308202673,0.1893928977184655,5.701185534576965,0.8929134575868408,['Ceftazidime_I_R'],['Cefepime_I_R']
frozenset({'Imipenem_I_R'}),frozenset({'Cefepime_I_R'}),0.3438030560271647,0.649284501576522,0.3368906136308513,0.9798941798941798,1.5091907746371698,0.11366461775776862,17.44348136895713,0.514164610686255,['Imipenem_I_R'],['Cefepime_I_R']
frozenset({'Cefepime_I_R'}),frozenset({'Levofloxacin_I_R'}),0.649284501576522,0.6500363812757701,0.6082949308755761,0.9368696301830407,1.441257223702353,0.1862363830523317,5.543506552217534,0.8729620677180189,['Cefepime_I_R'],['Levofloxacin_I_R']
frozenset({'Levofloxacin_I_R'}),frozenset({'Cefepime_I_R'}),0.6500363812757701,0.649284501576522,0.6082949308755761,0.9357859781351442,1.441257223702353,0.1862363830523317,5.461665353426864,0.8748375839768907,['Levofloxacin_I_R'],['Cefepime_I_R']
frozenset({'Cefepime_I_R'}),frozenset({'Meropenem_I_R'}),0.649284501576522,0.5658501091438273,0.5434149890856173,0.8369443406798655,1.4790919488311554,0.17601728300314678,2.66258707404805,0.9235677115887797,['Cefepime_I_R'],['Meropenem_I_R']
frozenset({'Meropenem_I_R'}),frozenset({'Cefepime_I_R'}),0.5658501091438273,0.649284501576522,0.5434149890856173,0.9603514787826832,1.4790919488311554,0.17601728300314678,8.845613598075396,0.7460776038868018,['Meropenem_I_R'],['Cefepime_I_R']
frozenset({'Cefepime_I_R'}),frozenset({'Piperacillin tazobactam_I_R'}),0.649284501576522,0.6636429784137764,0.6176570458404075,0.9512887560702279,1.4334345227971454,0.18676394537626018,6.905120757563812,0.8621655820974219,['Cefepime_I_R'],['Piperacillin tazobactam_I_R']
